drop,date,time,confirmed,name,type,opens,closes,comments,lat,lon
,2024/4/15,10:00 AM,T,bouchaine,wine,10:00,16:30,,38.22640654,-122.3313226
,2024/4/16,10:00 AM,T,domaine carneros,wine,10:00,17:00,,38.25549473,-122.3513943
,2024/4/16,1:00 PM,T,gunbun,wine+food,11:00,16:30,,38.28074802,-122.4171787
T,,,,hess perrson,wine+food,10:00,16:30,Fri-Sun only,38.33853895,-122.389924
,2024/4/19,,,muir woods,sightseeing,8:00,19:00,,37.8928503,-122.5724925
,2024/4/19,,,grand hyatt,housing,,,,37.612801,-122.3938939
,2024/4/20,,,SFO airport,travel,,,,37.61928659,-122.3815578
,,,,nickel & nickel,wine,10:00,16:30,david,38.44291361,-122.4057241
,2024/4/17,,,st supery,wine,10:00,17:00,david,38.4553008,-122.4143451
,2024/4/17,,,turnbull,wine,10:00,16:30,david,38.4445522,-122.408417
,2024/4/7,,,croix,wine,10:00,16:00,david,38.4814498,-122.7758766
,2024/4/12,,,ZD,wine,10:00,16:00,david,38.47644282,-122.3892448
,2024/4/8,,,stags leap,wine,10:00,16:00,david,38.41417809,-122.3214775
,2024/4/8,,,chimney rock,wine,10:00,17:00,david,38.39053932,-122.3135949
,2024/4/15,,,br cohn,wine,10:00,17:00,closed Tues-Thur,38.34939433,-122.5016496
,2024/4/7,,,siduri wine bar,wine,10:00,17:00,,38.60955381,-122.8709887
,2024/4/16,,,grove at cia restaurant,food,17:00,21:00,closed Mon & Tues; brunch on Sat/Sun 10:30-2:30,38.30290264,-122.2803274
,2024/4/15,,,abbot's passage,wine,11:00,16:30,closed Tues & Wed,38.34039596,-122.5067771
,2024/4/7,,,macrostie,wine,11:00,17:00,opens 10a fri-sun,38.55572646,-122.8704929
,2024/4/9,,,castello di amorosa,wine,10:00,17:30,open until 6p on Fri-Sun,38.55892419,-122.5412
,,,,press,food,,,,38.48783081,-122.4503104
,,,,osha,food,,,,38.30082945,-122.2862256
,,,,auberge du soleil,food,,,,38.49342837,-122.4060214
,,,,ciccio,food,,,,38.40657665,-122.3668755
,,,,el molino central,food,,,,38.31510065,-122.4819805
,,,,glen ellen star,food ,,,,38.36432125,-122.5245385
,,,,mustards,food,,,,38.41898873,-122.3881464
,,,,bird and the bottle,food,,,,38.44456638,-122.7059111
,,,,flamingo's lazeaway club,food+sightseeing,,,,38.45138187,-122.6887203
,,,,rosso pizzeria,food,,,,38.44206412,-122.7036716
,,,,trione-annadel state park,sightseeing,,,,38.45225217,-122.6346359
,,,,taylor mountain regional park,sightseeing,,,,38.41270795,-122.6909768
,,,,shulz museum,sightseeing,,,,38.46036856,-122.7359573
,,,,silverado,wine,10:00,17:00,chalk hill sister,38.41217434,-122.3369784
,,,,sebastiani,wine,10:00,17:00,chalk hill sister,38.29322007,-122.4493241
,,,,foley johnson,wine,10:00,17:00,chalk hill sister,38.45047167,-122.4133644
